# model dataset graph n_nodes n_4_cliques
ER_iid polblogs res_35.txt 1222 355995
ER_iid polblogs res_36.txt 1222 384718
ER_iid polblogs res_37.txt 1222 429848
ER_iid polblogs res_38.txt 1221 452514
ER_iid polblogs res_39.txt 1221 405172
ER_iid polblogs res_3.txt 1222 355849
ER_iid polblogs res_40.txt 1221 397719
ER_iid polblogs res_41.txt 1222 423029
ER_iid polblogs res_42.txt 1220 432791
ER_iid polblogs res_43.txt 1222 411006
ER_iid polblogs res_44.txt 1222 373610
ER_iid polblogs res_45.txt 1222 353361
ER_iid polblogs res_46.txt 1222 418142
ER_iid polblogs res_47.txt 1222 450302
ER_iid polblogs res_48.txt 1222 472064
ER_iid polblogs res_49.txt 1222 452948
ER_iid polblogs res_4.txt 1221 387229
ER_iid polblogs res_50.txt 1222 445514
ER_iid polblogs res_51.txt 1222 357163
ER_iid polblogs res_52.txt 1222 472078
ER_iid polblogs res_53.txt 1222 392264
ER_iid polblogs res_54.txt 1222 454763
ER_iid polblogs res_55.txt 1222 422073
ER_iid polblogs res_56.txt 1222 377815
ER_iid polblogs res_57.txt 1222 516581
ER_iid polblogs res_58.txt 1222 357033
ER_iid polblogs res_59.txt 1222 413954
ER_iid polblogs res_5.txt 1222 487315
ER_iid polblogs res_60.txt 1222 423385
ER_iid polblogs res_61.txt 1222 405856
ER_iid polblogs res_62.txt 1221 352127
ER_iid polblogs res_63.txt 1221 432580
ER_iid polblogs res_64.txt 1222 490282
ER_iid polblogs res_65.txt 1222 343927
ER_iid polblogs res_66.txt 1222 342921
ER_iid polblogs res_67.txt 1222 395725
ER_iid polblogs res_68.txt 1222 459632
ER_iid polblogs res_69.txt 1221 350079
ER_iid polblogs res_6.txt 1222 360557
ER_iid polblogs res_70.txt 1222 364125
ER_iid polblogs res_71.txt 1222 437015
ER_iid polblogs res_72.txt 1222 360803
ER_iid polblogs res_73.txt 1222 395326
ER_iid polblogs res_74.txt 1222 369992
ER_iid polblogs res_75.txt 1222 372306
ER_iid polblogs res_76.txt 1222 424129
ER_iid polblogs res_77.txt 1222 411451
ER_iid polblogs res_78.txt 1222 333983
ER_iid polblogs res_79.txt 1222 446844
ER_iid polblogs res_7.txt 1222 364796
ER_iid polblogs res_80.txt 1222 396150
ER_iid polblogs res_81.txt 1222 412280
ER_iid polblogs res_82.txt 1222 431538
ER_iid polblogs res_83.txt 1222 361990
ER_iid polblogs res_84.txt 1222 386705
ER_iid polblogs res_85.txt 1222 285205
ER_iid polblogs res_86.txt 1222 401876
ER_iid polblogs res_87.txt 1221 409425
ER_iid polblogs res_88.txt 1222 444256
ER_iid polblogs res_89.txt 1222 561755
ER_iid polblogs res_8.txt 1222 325323
ER_iid polblogs res_90.txt 1222 379563
ER_iid polblogs res_91.txt 1222 411309
ER_iid polblogs res_92.txt 1222 437899
ER_iid polblogs res_93.txt 1222 359238
ER_iid polblogs res_94.txt 1222 482074
ER_iid polblogs res_95.txt 1222 416564
ER_iid polblogs res_96.txt 1221 300107
ER_iid polblogs res_97.txt 1222 398748
ER_iid polblogs res_98.txt 1220 453832
ER_iid polblogs res_99.txt 1222 323918
ER_iid polblogs res_9.txt 1222 404699
ER_iid web-spam res_0.txt 4767 359503
ER_iid web-spam res_10.txt 4766 406085
ER_iid web-spam res_11.txt 4767 383325
ER_iid web-spam res_12.txt 4767 349376
ER_iid web-spam res_13.txt 4767 394990
ER_iid web-spam res_14.txt 4767 370332
ER_iid web-spam res_15.txt 4767 369730
ER_iid web-spam res_16.txt 4767 339855
ER_iid web-spam res_17.txt 4767 366546
ER_iid web-spam res_18.txt 4767 366888
ER_iid web-spam res_19.txt 4767 427453
ER_iid web-spam res_1.txt 4767 410804
ER_iid web-spam res_20.txt 4767 370920
ER_iid web-spam res_21.txt 4766 377708
ER_iid web-spam res_22.txt 4767 364305
ER_iid web-spam res_23.txt 4767 385417
ER_iid web-spam res_24.txt 4766 353226
ER_iid web-spam res_25.txt 4767 415429
ER_iid web-spam res_26.txt 4767 336478
ER_iid web-spam res_27.txt 4767 353581
ER_iid web-spam res_28.txt 4767 358950
ER_iid web-spam res_29.txt 4767 341763
ER_iid web-spam res_2.txt 4767 367157
ER_iid web-spam res_30.txt 4767 379656
ER_iid web-spam res_31.txt 4767 401203
ER_iid web-spam res_32.txt 4767 387861
ER_iid web-spam res_33.txt 4767 401420
ER_iid web-spam res_34.txt 4767 439273
ER_iid web-spam res_35.txt 4767 391546
ER_iid web-spam res_36.txt 4767 356022
ER_iid web-spam res_37.txt 4766 326266
ER_iid web-spam res_38.txt 4767 359174
ER_iid web-spam res_39.txt 4767 332994
ER_iid web-spam res_3.txt 4766 355700
ER_iid web-spam res_40.txt 4766 359373
ER_iid web-spam res_41.txt 4766 349161
ER_iid web-spam res_42.txt 4766 419704
ER_iid web-spam res_43.txt 4767 356313
ER_iid web-spam res_44.txt 4767 388316
ER_iid web-spam res_45.txt 4767 323257
ER_iid web-spam res_46.txt 4765 414791
ER_iid web-spam res_47.txt 4767 380921
ER_iid web-spam res_48.txt 4767 336408
ER_iid web-spam res_49.txt 4767 366418
ER_iid web-spam res_4.txt 4767 383962
ER_iid web-spam res_50.txt 4767 333583
ER_iid web-spam res_51.txt 4767 436615
ER_iid web-spam res_52.txt 4766 349616
ER_iid web-spam res_53.txt 4767 358229
ER_iid web-spam res_54.txt 4767 406096
ER_iid web-spam res_55.txt 4767 366724
ER_iid web-spam res_56.txt 4767 418074
ER_iid web-spam res_57.txt 4766 372926
ER_iid web-spam res_58.txt 4767 422286
ER_iid web-spam res_59.txt 4767 385926
ER_iid web-spam res_5.txt 4767 427456
